0 0
1000000 122902
2000000 222553
3000000 359982
4000000 496738
5000000 660941
6000000 809558
7000000 949176
8000000 1119511
9000000 1323475
10000000 1521763
11000000 1722302
12000000 1961870
12244893 2014032
